institucion,lugar
Museo UNAM HOY,Ciudad de México
Universidad Nacional de Colombia ,Colombia
Cmqb,Colombia
Museo comunitario de Guainía,"Guainía, Colombia"
Casa Museo Luis A Calvo,Colombia- Agua de Dios
Museu de Arte Contemporânea da Universidade de São Paulo ,São Paulo - Brasil 
Universidad Abierta Interamericana (Argentina),Argentina - Córdoba
Comité Regional de Educación y Acción Cultural para América Latina y el Caribe del Consejo Internacional de Museos (ICOM CECA LAC),Argentina
Universidad de Barcelona,Barcelona (España)
FUNHI,Cali
Museo de Arte Contemporáneo de Montevideo - MACMO,Uruguay - Montevideo
Museo de arte comunitario puntadas de amor,Santa Marta
Conversalon,Toronto
ConVersalon Collective,Toronto
Arte,Barcelona 
Museos para la Paz - Uniandes,Colombia
Instituto departamental de bellas artes,"Colombia, Cali "
WhiteBox Art Space,NEW YORK
Maestría en Museología y Gestión del Patrimonio - Universidad Nacional de Colombia,"Bogotá, Colombia"
Asociación Icom Colombia,"Bogotá, Colombia "
Independiente,Colombia
Red Museos de Sonsón ,Colombia _Sonsón 
INDEPENDIENTE,Bogotá
Santuario de Museo Claver,Cartagena de Indias Colombia
Independiente,Duitama
Museo de la Universidad del Rosario,Bogotá Colombia
Museo de Arte Moderno de Medellín,Colombia - Medellín
Museo de la Ciudad de Rosario Wladimir Mikielievich,Argentina
Museo Piedras Ancestrales ,Colombia
"Museo ciencia, tecnología y arte","Tunja, Colombia"
Museo Histórico de Cartagena ,Colombia 
"Goldsmiths, University of London",Londres
Museo de Arte Contemporáneo de Caracas ,Caracas Venezuela 
Pontificia Universidad Católica del Ecuador ,Quito-Ecuador
PUCE ,Quito- Ecuador
UASB y PUCE,Quito
Museo de Memoria de Colombia,Colombia
